"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 10:56:23 GMT 2022","Mon Jul 04 10:56:24 GMT 2022","1004","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 10:56:13 GMT 2022","Mon Jul 04 10:56:15 GMT 2022","1667","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Mon Jul 04 10:56:26 GMT 2022","Mon Jul 04 10:56:32 GMT 2022","5986","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 10:56:19 GMT 2022","Mon Jul 04 10:56:20 GMT 2022","1057","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Mon Jul 04 10:56:20 GMT 2022","Mon Jul 04 10:56:21 GMT 2022","1029","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 10:56:36 GMT 2022","Mon Jul 04 10:56:37 GMT 2022","892","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 10:56:37 GMT 2022","Mon Jul 04 10:56:37 GMT 2022","775","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 10:56:37 GMT 2022","Mon Jul 04 10:56:43 GMT 2022","5948","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 10:56:15 GMT 2022","Mon Jul 04 10:56:16 GMT 2022","1340","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Mon Jul 04 10:56:35 GMT 2022","Mon Jul 04 10:56:36 GMT 2022","1010","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 10:56:25 GMT 2022","Mon Jul 04 10:56:26 GMT 2022","783","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 10:56:24 GMT 2022","Mon Jul 04 10:56:25 GMT 2022","903","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
